par_id,text,label
5082,"ASWS's CEO DI GIPEY said that after a long history of domestic violence, the report on the deaths of two women in Coro has emphasized the need to make a real change to make women and children safe.",1
7359,"Vodafone Foundation Director Andrew Dunnett said: “At the end of 2013, there were 16.7 million refugees worldwide, 50 %of which were under 18 years of age. It would not have been.",1
1556,"On Tuesday, the king of Salman in Saudi Arabia ordered women to drive cars by carrying out major reforms that were long required by the Rights activists in the Islamic kingdom. Through",1
2382,"Thousands of people made homeless people on the eviction drive on the Kalyanpur slum on Thursday. The bulldozer takes up an open space around Shanti Village, where he picked up the house and called home.",1
1416,"In each city or city where CAXTON newspapers are distributed, we will provide help in projects to immerse them in the community and improve society. The prominent community newspaper initiative is DICE (enough to worry about), an important component of the Zululand Observer. It is not only involved in caring for vulnerable and dissolved people, but also active in the field of improving all the community that can be needed.",1
5948,"The discrimination of people with disabilities by society is one of the main issues that undermine the progress of democratic practice of the state. As long as the disability bill is passed, the position in society is always the dream of people with disabilities.",1
2477,"The theme 'march for our lives', protesters did not exclude people with disabilities who rolled from children, teenagers, pregnant women, old people, and wheels.",1
6211,"""Another major theme is to retire from the ashes of human elasticity and the ashes of ruin, and to be willing to actually speak, try to speak, and to gain justice. The courage of these young women is amazing.""",1
1964,"The hospitals are filled with the trembling until the winter, and the hospital is filled.",1
4466,She said she deserves the same kind of choice as she should do anywhere in the world.,1
5684,"Varanasi: Independence and Muslim communities in independence for more than 60 years can still fall behind in the field of education. But many Muslim women and girls, especially many Muslim women from poor families, have brought new dawns for the darkness of the ignorance and the coming community. They are especially proud of the community by sincerely trying to spread literacy between other girls and children.",1
2695,"What we observed instead was the constant educational weapon competition, and the poorest children did not fight desperately. Signs are around us: I enjoy the boom of a private teacher who paid to raise students. ? ? sexual; Sharp Elbat Tiger Parents have not stopped anything to bring their children to the best school, and the stressed students try to explore the complicated and embarrassing university admission system.",1
10424,"Julen said, “I don't believe in abortion and think it's evil. I will tell women to have children.",1
2581,"The constitution said that the 10 wheelchairs pursued the Host Salvation Army to be mobile for children who were identified. The BAPS charity will go anywhere to donate if people who need to be donated without discrimination without discrimination related to religion, color, origin, or tribe will go anywhere.",1
266,"Rick Carpenter, vice president of marketing, said, “Briggs & amp; STRATTON celebrates the 110th anniversary year. It is a better way to reaffirm our commitment to the Milwaukee community than to provide a million dollars to children who need pediatric treatment, ”said Rick Carpenter. ""We have one of the best pediatrics hospitals nationwide in the community, and Briggs & amp; Stratton firmly promises to expand its support to the future.""",1
9126,"Yes ... because there is no hope where he lives. India is a third world country. Do not be fooled by a large city call center. Most countries are rural, most population is illiterate and there is no hope.",1
3399,"For refugees begging for a new life, Christmas emotions are most luxury.",1
7138,"For 12 years, Ruby*has lived the lives of abuse, drugs, homelessness and prostitution. But two months ago, she joined the minority of luck and avoided fear of prostitution.",1
8206,"A few blocks from the Mexican border in an unopedy brick building, a few blocks from the Mexican border are waiting to use a single shared wired phone by sitting in a folder of birth certificate and asylum documents.",1
206,"SMYTH told HKFP: ""The biggest challenge is not a business policy. I think refugees or asylum applicants who come here can't work and have children here. Many stresses """,1
8165,Gawad Kalinga has helped Meloto as a core player in the housing industry and provides a good house and a sustainable livelihood for the underprivileged Filipinos.,1
7341,Billions of Egyptians suggest that they will buy a Mediterranean island for refugees.,1
4963,"The main charity organization of the beauty contest SA is the Dignity Dreams Project, and a sanitary towel that can be reusable and sucked for the female students needed.",1
5827,"Poranu kotuwa residents, who have been deprived of healthy and independent lives under normal weather conditions, are really facing a hopeless future.",1
343,"Helen Schafer decided to help a family in need. ""Without sending a gift to the customer, I effectively sent a letter to them.",1
8630,"Romualdez said, “All families with qualifications must be guaranteed. All children of the poor family should be deployed and kept in school and enjoyed health and nutrition, Romualdez said.",1
6811,"Many Muslims can rely on their blessings, but don't forget the fate of those who need poor and help.",1
717,"This year, in the past 90 years, we recognized their continued dedication and charity sacrifice to help everyone who needed help through mutual help, true comrades, and sound memories, and the moths of the better Olle Shell Hall are proud of their interest as a guard of honor. do. Centry during this year's length cross memory consciousness.",1
1117,"Despite being a good academic qualification, RANI shows the doors in numerous interviews with professors. Five years later, she finally got a job at ST NOTKERS but has a catch. She has received an infamous 9F, a ""hopeless"" student, who is studying at school because of the right to education, but is not accepted by teachers or students.",1
1482,"Aklima sultana, a teacher of the institution, told Daily Star. I am very proud of teaching the underprivileged students from very poor families. ?",1
5195,"But the most noticeable thing about President Trump's answer is desolate paintings, such as the pain of cities and black life, that is, poverty, firearms, poor education and despair.",1
6988,"After the Vatican debate, McDonald's helps to feed homeless people in Rome.",1
9850,"Pope Francis made the poor and the poor the cornerstone of his pope, installed a shower for homeless people near the Vatican, provided meals, and even visited Sistine Chapel.",1
8093,"""Most people will be vulnerable to people who advocate to include women in governance. But most people are not aware that people with disabilities should be much weaker and more supported than women."" .",1
8894,"""We want to study this bicycle for Vietnamese students from poor families in secluded regions,"" said Michael Shuman, former US Marine Corps, according to the former US Marine Corps Michael Shuman.",1
1899,"The Kalpana Chakma case shows how to conquer people with attacks on women and how to get out of Scotland. This woman showed excellent courage, the heart of the lion's heart, for those who violated her violent silence.",1
9312,The vast swamps of South Africa are owned by the government and are not used or used. The government can easily move most of the land into poor families and communities.,1
2388,"Fashion like pants is a good and bad thing as showing the back of the back. Or if the girl reaches out to pick up something in shelves or cupboards, the dress and skirt are too high if the world is exposed to see. Luxurious lifestyles for rich and famous people spend millions of dollars in dress, land and sea luxury vehicles, while fellow Americans have unfortunate, unemployed and hungry and homeless.",1
8712,"DODGEBALLS flew quickly for the fifth annual attack of the killer Dodge Ball Tournament Fund in MorningSide College. The Double EMINATION TOURNATAMENT has been played by 18 teams to raise funds from SIOXLAND's Welcome Home Project this year, and this project should bring a homeless family from the streets and get the help of a family development expert. It helps them change their lives.",1
8797,"ANAMBRA State, ISULO, which parades the blind, deaf and stupid school, and many beautiful structures, is one of the lack of facilities to meet children's special education demands. According to Felix NWAOCHI, the president of Isulo Community, many blind students need to take water from the city because they have to bring water from the city to survive at school.",1
5187,"Woo Furu said, “Instead of occupying, let's join hands with common things. Give people who are hungry, accept homeless people, and work for those who have nothing. .",1
9488,"The Foundation became an oasis for Grant's pen, and when they accepted our motto, 'to do what is needed', the political tension relieved and the young people with no hope were the Heart Trust/NTA and partner. I had a relationship to get technical training. You can hire.",1
9036,"The sound of the bulldozer was closer, and the presence of the body was carried on the white Eritrian shawl (Suria) when he was on his side. Words that do not explain the scene. Witnesses have become a witness of tears.",1
6398,"""Today the world needs this. In the life of individuals and community, there is a joy in the life of the individual and the community, listening to the Word every day, meeting with brothers and sisters, and joy in a happy brother -in -law. He embraced the flesh of Christ in the poor prophets of the poor, saying, “He said on May 22.",1
6843,"With the help of a Shoal livelihood program through other NGOs, more than 1,00,000 povertys living in the region have achieved success to overcome poverty since 2004.",1
6611,"RDA's behavior is a much deeper symptom of a deeper national problem that affects poor and vulnerable citizens while stealing in the Colombo society. Unfortunately, the pain of the poor is hardly heard. If you do not know the law and their rights, there is no way to hire a lawyer and get rewarded for several years in the court.",1
514,"CEMEX Treasury Operations Team Lead said, “H.E.R.O., Asia DAISY DAISY DELOS Angeles, provides an opportunity to reach and help people who need help. She also indicates the unified mission of an employee company that wants to show concerns about society, just like what an employee volunteer is doing.",1
3580,"The 19th -century unhappy character was confused as a young boy who was drunk in the dark of the industrial Leicester's smokey, but was the same as the young boy who was driving the line and looking at the same as others. Our elephant man cannot endure the growth and deformity of his historical predecessor, but Daniel Monk is physically disabled and lends much more gravity to the story. He travels to hostile streets, monsters, under his mother's wings until he rejects him under his mother's wings, hostile streets, monsters, and even ""artistic forms with loneliness.""",1
1038,"However, displaced people did not leave homeless people by developers and government agencies. Singapore's displacement and settlement have been treated with tremendous attention, and will never begin unless the replacement houses or apartments of the affected people are not prepared.",1
1976,"""As we always did, Americans should partner with African countries so that the most vulnerable population is supported to save life.",1
3462,The candidate promises to do good things and help people who need help.,1
545,"This year, Ireland's Team Hope Shoeboxes will go to street children, orphans, children in hospitals, poor families, war victims, Eastern Europe and the Soviet Union. Romania, Kosovo, Albania and Africa (e.g. Cameroon, Congo, Rwanda.",1
8228,"At the same time, she interviewed The Invisible People Project, who recorded the life of the homeless. She seemed to have no hope and resigned in her destiny and ambiguous future.",1
9608,"She said: ""I saw this need to help Dundee's Eagles Wings Trust Mobile Soup Kitchen. Toiletries and other necessities make a big difference for homeless people or without their own homes.""",1
9745,"Keep His dignity as a man and child of God. Do not allow rich people and powerful people to share you because you are poor. Because they have light and water in a house with many fences, they are not from Muslims or Christians or other tribes, but simply rich. You are poor, homeless, roads, no water, children are sick and illiterate. You are not a Christian or Muslim or a tribe or someone else, but simply you are poor. You and your children vote, but their children are not voted because they are abroad. While the children are called unbelievers, the children beg and die on the streets while they are brotherized abroad. They provide you with a fake religion that makes you a slave while giving your children a religion of education.",1
3701,"Manus Island and NAURU's cruel and violent political strategies <H> Asylum applicants have deportation, deflection, crushing and hope.",1
6035,"In South Africa, education is not right and privilege, but adverse backgrounds can unconsciously violate this rights. Poverty in our country is a public secret, so people with privileges should be able to help people who do not have. It may sound like an exaggerated expression, but there are many girls from poor families who missed school due to lack of hygiene pads.",1
228,"If this problem is not solved, there is a possibility that the other reporters may still be cursed by the other reporters in another 20 years.",1
77,"In September, Major Notch walked from Melbourne to Canberra to a national solution to the homeless issue.",1
8600,Selina Robinson's housing minister Selina Robinson said that this project represents hope for many women and families who need help.,1
3120,"Immigrants in developed countries live in two worlds. In the Metropolitan society, he meets another way of looking at things. He develops new ideas and gains new confidence. There is a chance in a new country, and he is familiar with good living standards. But he is an outsiders and the nationality and culture that is not completely assimilated differentiates him from the mainstream. He is familiar, longing for his roots. The idea of ​​retiring from the original country comes to him.",1
10311,"Poverty. 4.7 million people rely on food stamps. 1.3 million households are not saved for retirement. About 1.2 million children are homeless. About 58,000 veterans live every night. This is a national disgrace. The huge grinding and poverty of the United States is far away from our power. What kind of ""superpowers"" can make one million children keep themselves on the streets?",1
179,"Jenny Neal, a director of Suspect Catcher and Manitoba's grandmother's advocacy network, exhibits orange scarves on Thursday, November 24, 2016, at the Prairie Wind of River Landing. Promote orange to raise awareness of violence against women. Pender / the starphoenix",1
845,"In her tweet, Reham emphasized how true leaders should protect their vulnerable communities.",1
5270,"Cape Argus started a new cooperative editing initiative called #TheDignityProject, a 15 -day series of daily series of homeless people in Cape Town. Homeless Danny Oosthuizen will write a daily column for a project period. Read the fourth item in the diary of Danny below ...",1
3959,"Mrs. Kaka Guan attributed her kind gesture as a perennial, and interrupted the vision of the poor families of the poor families who chased the children of a happy family during the festival season.",1
10020,"Needless to say, whatever the level of disability, they face intense stigma and social exclusion in addition to ongoing physical and mental challenges. If life is difficult for adults who act differently, we can only imagine children. My parents are tired, frustrated and have no hope. Most of them lack the finances and other resources to cope with the situation. The burden and helplessness they feel are hardly imagined, so we rely on the acceptance of the resigned fate.",1
8680,"""Today all Abled people can be a disability tomorrow. Therefore, we must treat the physically challenged brothers and sisters with dignity and respect.""",1
1510,"""Someone should take care of it,"" he said. ""My passion for health care policy seems to come from the forgotten people. All of these experiences are more lively than I thought.""",1
282,"Why is the right to vote so poor in wealthy countries, such as the United States, which may be high in GDP but still with homeless people and poor people? Democracy is not a solution to everything, and most countries still do not implement democracy completely. Poor countries should show democratic to play the field in the field of globalization and modernization and bring the poor to the voting pool. In many cases, politicians actually work in their own fields because they have not actually do a lot of work.",1
4014,Responsibility suggests that people who need our help and support can do a little more to help themselves.,1
6130,"Denagan Honfovu, who was doubled as the president of BCYA's Badagry Community Youth Association, was given an idea to help women who were weak. ""If you give strength to the woman, it will give you strength to the country.""",1
9084,"""Everyone makes a mistake, no one is perfect. Execution is very bad, no one likes it. We are very sorry for this poor and poor family.",1
10407,"He decided to help those who needed help, but he did not personally benefit him, but ""Such support was given by all group employees ... In any way we all help people need help.""",1
5920,"Born in India, Mr. Mathur came to Canada in the early 70's when he was 8 years old. His hard -working immigrant parents have always inspired their flexible by integrating society, finding work, and putting food on the table. He raised his career in downtown Toronto for the first time in the city of Toronto and in the northwestern Brahmalea, ""It seemed that everyone looked the same, and"" children describe them as somewhat spiritual in the academic community and academia focused on academia and academia. . sports.",1
2226,Three mothers just before becoming homeless <h>,1
384,"""Many people need to develop better roads, drinking water, technical training, education and health care facilities: they want to all happen at once, and you will do it for them. He said.",1
8120,Now everyone is wondering how my husband cares for himself while living with a daughter with a disability 20 years ago.,1
5023,"But despite the hope of decreasing, Yemen refuses to give up on others who need help.",1
4655,"Vatican City: To be painful and sympathetic with others, to get closer to them to restore dignity: This is the attitude that a Christian suffers and needs to be in front of the people who need it. Luke's commentary on today's gospel devoted himself to the explanation of Christ's resurrection of the Nine Son of Christ.",1
8247,"""If you skip the border regulation, somehow people who entered the country (Ro Hingya) decided to give a shelter on humanitarian evidence.",1
10135,"Indian children in poor families never get a chance to use computers. They do not have the opportunity to speak English. In most cases, English teachers try to speak well because they teach them badly.",1
8965,"Over the years, I have been working very hard to talk about this nation's disgrace. The most vulnerable citizens in long -term nursing facilities have no voices, and fate has been able to fill the void by speaking large and clearly about the abuse of long -term treatment facilities. The patient in that place.",1
6534,"At the end of this month, the actor you can see in Avengers: Infinity War demanded to create a young fan day that needs help. Wednesday, on Wednesday, he matched Jacob Monday, a 16 -year -old northern New York, with terminal cancer. A teenager with a rare form of bone cancer has a bucket list that he works and includes meeting his favorite movie star.",1
7370,Charles tax spokesman said in a press briefing on Tuesday that the Philippines is trying to reach out to war refugees as signatures of the 1951 UN Convention on refugee status.,1
3954,"""If a single man becomes a homeless person and is forced to live on a street of a country, it is embarrassing for the people of that country.""",1
7805,"CECIL DUDDLEY, who focused on fashion shows in Africa and Europe, did not win the fashion designer of the year due to his tremendous development. It is Ghana's fashion, but it was honored to give people the hope of putting food into the table by training more than 1,000 people for free.",1
2822,"Yemen, Syria, Iraq and Libya have no hope (anarchy) militia nation; These are countries without hope. How can you get this condition? Even US troops could not stabilize 10 years in Iraq.",1
5432,"'There is an urgent need for energy efficiency programs that are open to large -scale public funds that are urgent to create jobs, reduce emissions and save the lives of the most vulnerable people in the UK. '",1
10324,"When the prophet Elijah was too frustrated and hoped, when he considered suicide and told God to kill him, the first thing God did was to give him food and solve immediate needs. He gave food again until he was eaten, and his mind settled and thought about suicide no longer.",1
8154,"This raises questions about religious ""Madrassa"" education networks that children in poor families are digested to perform suicide attacks. In recent months, some suicide bombings have been a teenager who accepts bombs instead of this book. But so far, this issue is not worldwide. <H> School obstacles",1
4193,"The Reuters Report has been cited by thousands of Iranians late on Monday, the most deadly earthquake in Iran for more than 10 years, late at least 450 people died.",1
7462,"OTOYO learned technology and delivered it to others, not only changing the stories around the disabled, as well as knitting work also helped to overcome the 10 -year trauma fighting in the world's most cruel battles. Rebel.",1
7396,"We pray as if everything depends on us and as if everything depends on God. But he does more than we can. We build a house for poor and homeless and poor. We build our own monastery. We built our own beds and chairs. We cook and clean, make our own clothes, and cut each other's hair.",1
8276,"When we talk about freedom, it is essential to remember the brave war heroes who fought to save our country from L. T. E. Terror for 30 years. They sacrificed their lives. They lost their limbs. They were disabled and their family suffered severely. The economy is broken. About 100,000 people, including civilians, lost their lives. Thousands of people have been disabled. Those who have lost their lives in war for 30 years were the losers. Are those who saved their lives are winners? I believe that we have saved our lives in our tragedy and we must remember the lessons we have learned.",1
516,The group believes that only the administration of the Bawumia administration can arrest the depth of hope that young people have restored the dreams of a comprehensive and prosperous country.,1
1542,"He was born with HIV positive. He is healthy, but when Sasha volunteered at an orphanage when he met him, he was 3-amp; #xbd; He had to be a one -year -old boy and his hair fell. The only word he knew was Russians. It's not because of HIV. What they worried about was love. If he received something, he would want more and no one will come. He was going out of the ward, and now they tried to send him to another person who had no hope, and he would throw it as a lost cause of all ages. And there he will remain as long as he remains.",1
822,"The budget must be limited, so unfortunately it reaches a limited number. In our society, we remember the birthday and relatives who have passed by, and we follow the tradition of providing people in residential homes and donating gifts to individuals. Both nations and society need 'charity' and 'social services'. This has been the situation of Sri Lanka for decades. The disabled is a beneficiary of good faith and charity.",1
7983,"Keva Davis of the nearby Red Ground Community was a lot of lucky of NEGRIL, a beneficiary of the homeless program, and she thanks her very grateful for this.",1
2284,"This paper shows why stakeholder counseling with actors who obtained other information, including those who can provide voices of business, civil society, labor groups, academia and the most vulnerable problems. Nations such as Korea, Japan, the United States, and other countries explain the various mechanisms and processes introduced to help stakeholders' interests to create a wide range of goals or balance trade negotiators.",1
4160,"The 23 children from the vulnerable families of the community benefit from the scholarship of the organization, including three kindergartens and 20 students in SOS elementary school.",1
3186,"When politicians discuss immigration, they are generally flying. JEB BUSH said, ""Immigrants create an engine of economic prosperity."" Politicians always talk about importing the best and brightest things abroad. But the salon of New York City captures the crying reality of illegal immigration, creating an illegal island that can almost prevent people.",1
171,"""I am very happy to see the financial results donated to co -operatives, and I am also interested in where the money will be used because it is part of 16xosu, and the triplelet is Uganda's women.",1
4527,"Currently, the family is with friends and family. It is expected that someone will come to rescue while cleaning the remaining debris during the day. They received an emergency relief pack, but they still need clothes, beds, blankets and kitchen utensils.",1
10312,"Over the past 40 years, tribal society has passed the most torture, bloody, destructive, divisional, and brutal stages. The sons and daughters of this dark era did not see anything except brutality, despair and helplessness. In the war area, the children of Jihad had no opportunity or expression. When they saw the most handsome young people, an ambitious model with fascinating clothes and fascinating photographic sessions, they could not take it anymore and could not be tied to public places with white flags. Suddenly, we see the spring of Pashtoon civil rights from the field of death of Patta.",1
4376,"It is lunch time, and we are sitting in the remains of the house where he paints today. Concrete chips are scattered on the floor and the windows are all flying. The image of the bombed house of Aleppo comes to mind. However, since the building is being renovated, the landowner can rent it to a refugee family who can afford more than a tent. Ibrahim is not one of the families.",1
4876,"The cold, humid, and windy teams were in the distance in the early days of feeding homeless men and women. #Chh #retweet4support",1
2465,"The capitalism of our time does not understand the value of the union because it has forgotten the social nature of economy, corporate, life, bonds and patents. But perhaps our society will not understand the unity because it does not fight enough in the place without 'yet' rights. In the suburbs of existence, the poor among the abandoned workers, between immigrants, under the wall of the city; Or simply does not understand why corruption sometimes enters the center of some labor unionists. Do not block this. """,1
7098,"Daraz. The online shopping portal promised to return this Pakistan day and started the campaign to donate You Buy One We We ONE. Through this campaign, Daraz tried to help one Pakistan for all items sold in Pakistan's Day. Daraz wants to work with customers and other companies to smile and promote positive.",1
8123,"DINU developed the subject of life. ""The situation in your life must not describe or instruct the quality of your personality."" DINU has prevented this new and effort from changing all aspects of her personality or life. She was painful and painful, but it took time to visit if her friend or relative hurts. She needed help, but she was always there to help others. She always had time to talk with her friends. Dinu's Bible theme passage was 4: 2.",1
7790,"As a child, I was always told to give people who needed help. I grew up to believe that I would find a way to hell if I didn't give it to the poor. Because of this teaching that is soaked in me, I was generally compassion for poor people. In the end, the Bible says, ""There is a blessing to give than receiving."" As I grew up, I destroyed my heart of this concept. I was tired of seeing a familiar face on the street for too long. I was tired of giving money to the beggars that demanded money today, but I am ashamed to help me next time. afternoon .",1
6087,"Father Campbell is from a house facing financial difficulties, and Campbell is always going to realize a project that smiles on people who need help.",1
5719,"The Pope Francis visited the Refugee Center and washed and kissed the foot of Muslims, authentic, Hindu and Catholic refugees.",1
715,"ANISA Abdala, the Cabasa County Team manager, urged the corporate community to support various teams by showing solidarity with the disabled.",1
7637,"Another favorite memory I cherished was the day from the mosque when he and I brought him to him to get him money. They said they didn't eat all day. Dad was the most kind human being I knew. He will give the last penny to those who need help. So he gave men all the money he had. ""I don't have a lot of me now, but I'm a salary person and that moon will end in a few days. You need more than I do,"" he said.",1
5129,"""I thought about how many other poor families have because of the overall experience,"" she said.",1
9584,"According to Betty-Ann Blaine, Harly The Children's Cry, Executive Director of Family Living Emergency; Instability/Change furniture; The falling level of poverty; The lack of social support system and the heartbreaking despair are the key factors that children run away from home.",1
2532,The famous chef eats excessive Olympic food for RIO homeless.,1
4693,"The game is also aimed at empowering people with disabilities in the Gaza International Foundation, alienated rural forks, women, children, the elderly, marginalized, unfortunate people, and unfortunate people. To integrate them into the mainstream society, they play an active role in the overall development of the world.",1
6448,"According to the details, Prime Minister Nawaz Sharif includes 39 million rupees including 39 million rupees, 26.6 million rupees for 129 serious injuries/disabled people, and 36.5 million rupees for 73 people, including 3 billion rupees including 36 million rupees. It has been approved by 55 million rupees. AJK Government spokesman/DG ISPR Raja Azhar IQBAL spoke to the institution late on Thursday late at night for four homes that were completely damaged by the Indian bombardment.",1
4358,"The above mentioned figures included men, but they decided to be a single woman for their gratitude for their love for children. They draw a very gloomy picture and demand all efforts to protect women and children around the world. When you read it through the line, now you have a very touching story about talking about your mother or your neighbor's mother.",1
3268,"Lilia Caberio is from Sulangan in the Philippines. In 2013, her house was destroyed by a typhoon Haiyan in 170 miles of wind and a stormy tsunami, 6 meters high, and for a while she lived with her family in a tent built in the house. The typhoon was afraid of Lilia, but the homeless would have felt much more. Until Elizabeth comes.",1
2396,"This letter ended to the bishops to make a church that listens to ""hungry, imprisoned immigrants, abusers.""",1
567,"British actor Benedict Cumberbatch has an emotional petition for Syrian refugees. On Thursday, September 10, in London, he urged the audience to donate cash to support refugees.",1
1217,"""I suddenly had an urge to find a Filipino family and help them to help them.",1
635,"He did not tolerate anything ridiculous and nobody allowed someone who threatened him. He was rich and very comfortable and very generous and kind with his wealth. Every three months, we had a banquet for all patriarchs in the community. After that, he will organize us for us and the children of the poor. He told us that it did not mean that we were comfortable because God created all the same people.",1
8881,"The strange thing is that the creation of this colony was for the benefit of the local African community that these great people thought that the advantages of ""modern civilization"" were needed. They were expected to be remembered as a great supporter of the continent, but are now driven out of now as a cruel racist.",1
6167,"""It's just a matter of income poverty. The important thing is a very poor family child in a crowded, cold and humid house. There is income problem, housing supply problem, and there is a housing quality problem.""",1
8103,"I don't want to interfere with the achievements of the Olympic Olympics for the Disabled, and I hope people enjoy watching the game. But do not think that what you see is an example that all people with disabilities can follow. <H> Trend to make the dough a long way",1
2710,"The public suffering from this poverty rarely mentioned the political negotiations in the corridor of power. There, after independence, the power structure was formed to determine the future of India and Pakistan. But people were those who paid prices due to the pain of the homeless, with the pain of the massacre, the destruction of property, and the partition.",1
936,Please help people who need more food for the LAOIS charity <H>,1
3806,"""I am grateful for the $ 25,000 contribution to the Innersole, not a profit organization for interest organizations that accept his apology and not homeless or need help, and INERSOLE contributed to $ 25,000 to Innersole, and I continuously lively and positively among our programs. I look forward to passing this.",1
5458,President Uhuru Kenyatta and his deputy director William Ruto are especially shuttle to “reveal” the deep people of the village posing with the poor.,1
2714,"At that point, you need a lot of pain and despair to reach.",1
195,"Grant Shapps, the housing minister, added:",1
6259,"""It is a message of each religion that helps people who need help,"" she said. ""I hope to spread to other communities.""",1
6826,"And the wife and mother in their twenties and mothers are satisfied with the shocking lack of support and the unacceptable level of judgment, and admit that young women feel desperate and discouraged.",1
